"Agency","FY06","FY07","FY08","FY09","FY10","FY11","FY12","FY13","FY14","FY15","FY16","FY17","FY18","FY19","FY20","FY21","FY22","FY23"
"USDA",19,71,77,62,74,81,63,53,42,60,55,55,36,2,2,3,3,5
"DOC",19,24,28,20,24,22,20,27,32,33,13,13,9,17,8,8,14,21
"DOD",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOE",1,2,1,2,1,1,0,0,0,0,0,13,14,12,0,0,0,1
"HHS",31,32,23,32,22,16,14,30,32,16,26,16,27,21,20,0,43,9
"DOI",51,68,29,32,32,63,34,29,42,20,44,81,80,191,90,191,70,103
"DOL",2,0,2,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"DOT",12,14,5,8,7,1,11,7,0,3,0,0,0,0,0,0,0,0
"CPSC",4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"EPA",15,15,31,22,28,28,14,13,14,12,10,6,0,8,3,1,2,11
"FCC",3,4,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
"DOJ",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NASA",0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SBA",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"VA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STATE",0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,13,4
"CFPB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
