"Agency","Agency (abbrv.)","Total Peer Reviews Completed","Reviews of HISA","Waivers, Deferrals, or Exemptions","Potential Reviewer Conflicts","Agency1","Agency2","Agency3","Agency4","Agency5","Agency6"
"Department of Agriculture","USDA",74,7,"None","None","Food Safety Inspection Service","Agricultural Research Service","Economic Research Service","the Forest Service",,
"Department of Commerce","DOC",24,1,"None","None","National Oceanic and Atmospheric Administration",,,,,
"Department of Energy","DOE",1,0,"None","None","Energy Efficiency and Renewable Programs","Vehicle Technologies Program",,,,
"Department of Health and Human Services","HHS",22,17,"None","None","Centers for Disease Control and Prevention","Institute for Environmental Health Sciences",,,,
"Department of the Interior","DOI",32,0,"7 (Waiver)","None","Fish and Wildlife Service","Geological Survey","National Park Service","Mine Safety and Health Administration",,
"Department of Labor","DOL",2,0,"None","None",,,,,,
"Department of Transportation","DOT",7,2,"None","None","Federal Highway Administration","Federal Motor Carrier Safety Administration",,"National Highway Traffic Safety Administration",,
"Environmental Protection Agency","EPA",28,4,"None","None",,,,,,
"Federal Communications Commission","FCC",1,0,"None","None",,,,,,
"Small Business Administration","SBA",2,0,"None","None",,,,,,
