"Agency","Agency (abbrv.)","Reviews of ISI","Reviews of HISA","Total Peer Reviews Completed","Waivers, Deferrals, or Exemptions (ISI)","Waivers, Deferrals, or Exemptions (HISA)","Waivers, Deferrals, or Exemptions","Potential Reviewer Conflicts (ISI)","Potential Reviewer Conflicts (HISA)","Potential Reviewer Conflicts","Agency1","Agency2","Agency3","Agency4","Agency5","Agency6","Agency7","Agency8","Agency9"
"Consumer Products Safety Commission","CPSC",,,0,,,0,0,0,,,,,,,,,,
"Veterans Administration","VA",,,0,,,0,0,0,,,,,,,,,,
"Federal Communication Commission","FCC",,,0,,,0,0,0,,,,,,,,,,
"Department of Commerce","DOC",17,0,17,,,0,0,0,,,,,,,,,,
"Department of Agriculture","USDA",2,0,2,,,0,0,0,,"FSIS","FS",,,,,,,
"Department of State","STATE",23,14,37,,,0,0,0,,"USAID",,,,,,,,
"Consumer Financial Protection Bureau","CFPB",0,0,0,,,0,0,0,,,,,,,,,,
"Environmental Protection Agency","EPA",7,1,8,,,0,0,0,,,,,,,,,,
"Department of Energy","DOE",12,0,12,,,0,0,0,,,,,,,,,,
"Department of the Interior","DOI",187,4,191,5,2,7,0,0,,"BSEE","USGS",,"Reclamation","FWS",,,,
"Department of Health and Human Services","HHS",21,0,21,,,,,,,"CDC","NIH",,,,,,,
