"Agency","Agency (abbrv.)","Reviews of ISI","Reviews of HISA","Total Peer Reviews Completed","Waivers, Deferrals, or Exemptions","Potential Reviewer Conflicts","Agency1","Agency2","Agency3","Agency4","Agency5","Agency6","Agency7","Agency8","Agency9","Agency10"
"Consumer Products Safety Commission","CPSC",,,,,,,,,,,,,,,
"Veterans Administration","VA",,,,,,,,,,,,,,,
"Federal Communication Commission","FCC",,,,,,,,,,,,,,,
"Department of Commerce","DOC",1,,1,,,"National Oceanic and Atmospheric Administration",,,,,,,,,
"Department of Agriculture","USDA",2,,2,,2,"Animal and Plant Health Inspection Service",,,,,,,,,
"Department of State","STATE",,,,,,,,,,,,,,,
"Consumer Financial Protection Bureau","CFPB",,,,,,,,,,,,,,,
"Environmental Protection Agency","EPA",9,,9,,,,,,,,,,,,
"Department of Energy","DOE",1,,1,,,"Grid Deployment Office",,,,,,,,,
"Department of the Interior","DOI",194,3,197,30,,"Fish and Wildlife Service","United States Geological Survey","Bureau of Safety and Environmental Enforcement","Reclamation",,,,,,
"Department of Health and Human Services","HHS",16,,16,,,"Centers for Disease Control and Prevention","Food and Drug Administration","National Institutes of Health",,,,,,,
